institution,type,subcategory,nation,policy_url,policy_format,date_published,date_accessed,has_policy,notes
University College London,Russell Group,Pre-1992 Other,England,https://www.ucl.ac.uk/students/exams-and-assessments/assessment-success-guide/engaging-generative-ai-your-education-and-assessment,html,,2026-02-16,yes,
King's College London,Russell Group,Pre-1992 Other,England,https://www.kcl.ac.uk/about/strategy/learning-and-teaching/ai-guidance/student-guidance,html,,2026-02-16,yes,
Imperial College London,Russell Group,Pre-1992 Other,England,https://www.imperial.ac.uk/students/academic-support/ai-and-study-guidance-hub/,html,,2026-02-16,yes,
London School of Economics and Political Science,Russell Group,Pre-1992 Other,England,https://info.lse.ac.uk/staff/divisions/Eden-Centre/Assets-EC/Documents/AI-guidelines-update-June-2025/LSE-Position-on-Generative-AI-in-Education-2025-26-FINAL.pdf,pdf,,2026-02-16,yes,
Queen Mary University of London,Russell Group,Pre-1992 Other,England,https://www.qmul.ac.uk/library/academic-skills/student-guide-to-generative-ai/,html,,2026-02-16,yes,
Royal Holloway University of London,Pre-1992,Pre-1992 Other,England,https://intranet.royalholloway.ac.uk/students/study/our-college-regulations/generative-artificial-intelligence-at-royal-holloway.aspx,html,,,no,URL did not contain AI policy content
SOAS University of London,Pre-1992,Pre-1992 Other,England,https://www.soas.ac.uk/sites/default/files/2023-07/ChatGPT%20and%20generative%20AI%20%E2%80%93%20a%20guide%20for%20students.pdf,pdf,,2026-02-16,yes,
Goldsmiths University of London,Pre-1992,Pre-1992 Other,England,https://www.gold.ac.uk/media/docs/gam/Academic-Misconduct-Policy-and-Procedures.pdf,pdf,,2026-02-16,yes,
Birkbeck University of London,Pre-1992,Pre-1992 Other,England,https://www.bbk.ac.uk/documents/student-policy-2024-25-ai-guidance.pdf,pdf,,2026-02-16,yes,
Cranfield University,Pre-1992,Pre-1992 Other,England,https://library.cranfield.ac.uk/AI,html,,2026-02-16,yes,
The Open University,Pre-1992,Pre-1992 Other,England,https://about.open.ac.uk/policies-and-reports/policies-and-statements/generative-ai-learning-teaching-and-assessment-ou-0,html,,,no,URL did not contain AI policy content
Anglia Ruskin University,Post-1992,Former Polytechnic,England,https://anglia.libguides.com/AI/allowed,html,,,no,URL did not contain AI policy content
Birmingham City University,Post-1992,Former Polytechnic,England,https://libguides.bcu.ac.uk/AI-tools,html,,2026-02-16,yes,
University of Brighton,Post-1992,Former Polytechnic,England,https://blogs.brighton.ac.uk/studentnewsandevents/2023/03/29/artificial-intelligence-ai-and-assessment/,html,,2026-02-16,yes,
Bournemouth University,Post-1992,Former Polytechnic,England,https://www.bournemouth.ac.uk/news/2023-08-02/using-artificial-intelligence-support-assignments-or-assessments,html,,,no,URL did not contain AI policy content
University of Central Lancashire,Post-1992,Former Polytechnic,England,https://lacweb.uclan.ac.uk/AI/index.html,html,,,no,URL did not contain AI policy content
Coventry University,Post-1992,Former Polytechnic,England,https://libguides.coventry.ac.uk/studyingwithai/introduction,html,,2026-02-16,yes,
De Montfort University,Post-1992,Former Polytechnic,England,https://library.dmu.ac.uk/genai,html,,2026-02-16,yes,
University of East London,Post-1992,Former Polytechnic,England,https://www.uel.ac.uk/about/governance/generative-ai,html,,,no,URL did not contain AI policy content
University of Greenwich,Post-1992,Former Polytechnic,England,https://www.gre.ac.uk/ai-guidance/students,html,,2026-02-16,yes,
University of Hertfordshire,Post-1992,Former Polytechnic,England,https://ask.herts.ac.uk/ai-tools,html,,2026-02-16,yes,
University of Huddersfield,Post-1992,Former Polytechnic,England,https://students.hud.ac.uk/studies/ai/,html,,2026-02-16,yes,
